Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
74.656, 94.360, 78.263, -2108.921, 5.972, 0.005, 65.682, -11.933
75.130, 94.697, 67.350, -2182.731, 5.958, 0.005, 66.132, -12.081
75.605, 94.977, 56.111, -2247.784, 5.945, 0.005, 66.581, -12.236
76.081, 95.200, 44.596, -2303.002, 5.931, 0.005, 67.029, -12.397
76.557, 95.364, 32.859, -2347.389, 5.917, 0.005, 67.475, -12.565
77.035, 95.469, 20.958, -2380.135, 5.903, 0.005, 67.920, -12.739
77.512, 95.514, 8.955, -2400.606, 5.890, 0.005, 68.362, -12.919
77.990, 95.498, -3.087, -2408.350, 5.876, 0.005, 68.802, -13.105
78.467, 95.423, -15.102, -2403.123, 5.862, 0.005, 69.239, -13.297
78.943, 95.288, -27.027, -2384.886, 5.848, 0.005, 69.672, -13.495
79.419, 95.094, -38.796, -2353.825, 5.834, 0.005, 70.102, -13.699
79.893, 94.842, -50.347, -2310.325, 5.821, 0.005, 70.527, -13.907
80.366, 94.534, -61.622, -2254.961, 5.807, 0.005, 70.949, -14.121
80.837, 94.171, -72.565, -2188.491, 5.793, 0.005, 71.366, -14.340
81.305, 93.756, -83.124, -2111.828, 5.780, 0.005, 71.778, -14.563
81.772, 93.289, -93.254, -2026.010, 5.767, 0.005, 72.185, -14.791
82.236, 92.775, -102.915, -1932.187, 5.754, 0.005, 72.587, -15.022
82.697, 92.214, -112.073, -1831.562, 5.741, 0.005, 72.984, -15.258
83.155, 91.611, -120.700, -1725.410, 5.728, 0.005, 73.374, -15.497
83.610, 90.967, -128.775, -1614.999, 5.715, 0.005, 73.759, -15.739
84.061, 90.286, -136.282, -1501.578, 5.703, 0.005, 74.138, -15.984
84.509, 89.570, -143.214, -1386.388, 5.691, 0.005, 74.511, -16.232
84.953, 88.822, -149.567, -1270.597, 5.679, 0.005, 74.878, -16.482
85.393, 88.045, -155.344, -1155.258, 5.667, 0.005, 75.239, -16.735
85.829, 87.242, -160.551, -1041.427, 5.656, 0.005, 75.594, -16.989
86.262, 86.416, -165.201, -929.938, 5.644, 0.005, 75.942, -17.245
86.689, 85.570, -169.309, -821.641, 5.633, 0.005, 76.284, -17.502
87.113, 84.705, -172.895, -717.161, 5.623, 0.005, 76.620, -17.760
87.532, 83.825, -175.980, -617.092, 5.612, 0.005, 76.949, -18.019
87.947, 82.932, -178.589, -521.901, 5.602, 0.005, 77.273, -18.278
88.357, 82.029, -180.749, -431.915, 5.592, 0.005, 77.590, -18.538
88.762, 81.116, -182.486, -347.398, 5.582, 0.005, 77.901, -18.798
89.163, 80.197, -183.829, -268.520, 5.573, 0.005, 78.207, -19.058
89.560, 79.273, -184.806, -195.381, 5.564, 0.005, 78.506, -19.318
89.952, 78.346, -185.445, -127.930, 5.555, 0.005, 78.799, -19.577
90.339, 77.417, -185.776, -66.185, 5.547, 0.005, 79.087, -19.836
90.721, 76.488, -185.826, -9.993, 5.538, 0.005, 79.370, -20.094
91.099, 75.560, -185.622, 40.790, 5.530, 0.005, 79.646, -20.351
91.472, 74.634, -185.190, 86.346, 5.523, 0.005, 79.918, -20.607
91.841, 73.711, -184.556, 126.917, 5.515, 0.005, 80.184, -20.862
92.205, 72.792, -183.742, 162.725, 5.508, 0.005, 80.445, -21.116
92.564, 71.878, -182.772, 194.043, 5.501, 0.005, 80.700, -21.369
92.919, 70.970, -181.666, 221.127, 5.495, 0.005, 80.951, -21.619
93.269, 70.068, -180.445, 244.269, 5.488, 0.005, 81.198, -21.869
93.615, 69.172, -179.126, 263.737, 5.482, 0.005, 81.439, -22.116
93.956, 68.284, -177.727, 279.795, 5.476, 0.005, 81.676, -22.362
94.293, 67.402, -176.264, 292.729, 5.471, 0.005, 81.908, -22.606
94.626, 66.528, -174.750, 302.781, 5.466, 0.005, 82.137, -22.848
94.954, 65.662, -173.199, 310.224, 5.460, 0.005, 82.360, -23.088
95.278, 64.804, -171.622, 315.287, 5.456, 0.005, 82.580, -23.326
95.598, 63.954, -170.031, 318.177, 5.451, 0.005, 82.796, -23.562
95.914, 63.112, -168.436, 319.161, 5.447, 0.005, 83.008, -23.796
96.225, 62.278, -166.844, 318.398, 5.443, 0.005, 83.216, -24.028
