SuperstructureState, PDPVoltage, PDPTotalPower, PDPTemp, timestamp
IDLE, 0.0, 0.0, 0.0, 587.66473
IDLE, 0.0, 0.0, 0.0, 587.687388
IDLE, 0.0, 0.0, 0.0, 587.700616
IDLE, 0.0, 0.0, 0.0, 587.720056
IDLE, 0.0, 0.0, 0.0, 587.742403
IDLE, 0.0, 0.0, 0.0, 587.765136
IDLE, 0.0, 0.0, 0.0, 587.78922
IDLE, 0.0, 0.0, 0.0, 587.812088
IDLE, 0.0, 0.0, 0.0, 587.832175
IDLE, 0.0, 0.0, 0.0, 587.857598
IDLE, 0.0, 0.0, 0.0, 587.879398
IDLE, 0.0, 0.0, 0.0, 587.900518
IDLE, 0.0, 0.0, 0.0, 587.923491
IDLE, 0.0, 0.0, 0.0, 587.940538
IDLE, 0.0, 0.0, 0.0, 587.967913
IDLE, 0.0, 0.0, 0.0, 587.990946
IDLE, 0.0, 0.0, 0.0, 588.006991
IDLE, 0.0, 0.0, 0.0, 588.020855
IDLE, 0.0, 0.0, 0.0, 588.044267
IDLE, 0.0, 0.0, 0.0, 588.061394
IDLE, 0.0, 0.0, 0.0, 588.084649
IDLE, 0.0, 0.0, 0.0, 588.099034
IDLE, 0.0, 0.0, 0.0, 588.119396
IDLE, 0.0, 0.0, 0.0, 588.14127
IDLE, 0.0, 0.0, 0.0, 588.155517
IDLE, 0.0, 0.0, 0.0, 588.183865
IDLE, 0.0, 0.0, 0.0, 588.20242
IDLE, 0.0, 0.0, 0.0, 588.228678
IDLE, 0.0, 0.0, 0.0, 588.24839
IDLE, 0.0, 0.0, 0.0, 588.26932
IDLE, 0.0, 0.0, 0.0, 588.288959
IDLE, 0.0, 0.0, 0.0, 588.305207
IDLE, 0.0, 0.0, 0.0, 588.328975
IDLE, 0.0, 0.0, 0.0, 588.347548
IDLE, 0.0, 0.0, 0.0, 588.372935
IDLE, 0.0, 0.0, 0.0, 588.408922
IDLE, 0.0, 0.0, 0.0, 588.439554
IDLE, 0.0, 0.0, 0.0, 588.464852
IDLE, 0.0, 0.0, 0.0, 588.483824
IDLE, 0.0, 0.0, 0.0, 588.512777
IDLE, 0.0, 0.0, 0.0, 588.533031
IDLE, 0.0, 0.0, 0.0, 588.554343
